primary_media,depth,creditline,display_date,width,invno,medium,id,title,classification,people,dimensions,description,height,onview,collection,dominantColor
/internal/media/dispatcher/16854/resize%25253Aformat%25253Dthumbnail,32.702,Gift of Dr. David Klein,ca. 1700,not found in JSON,74.008.000.9,engraving,19444,Abraham Prepares to Sacrific Isaac (Genesis 22),Art Works,Caspar Luyken,Sheet: 12 7/8 x 8 5/8 in. (32.7 x 21.9 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#c0bbac
/internal/media/dispatcher/16850/resize%25253Aformat%25253Dthumbnail,32.068,Gift of Dr. David Klein,ca. 1700,not found in JSON,74.008.000.5,engraving,19740,Abraham Rescues Lot (Genesis 14),Art Works,Caspar Luyken,Sheet: 12 5/8 x 8 7/8 in. (32.1 x 22.5 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#959185
/internal/media/dispatcher/16856/resize%25253Aformat%25253Dthumbnail,31.115,Gift of Dr. David Klein,ca. 1700,not found in JSON,74.008.000.11,engraving,19013,Abraham Sends Hagar and Ishmael Away (Genesis 21),Art Works,Caspar Luyken,Sheet: 12 1/4 x 8 1/2 in. (31.1 x 21.6 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#b8b6a7
/internal/media/dispatcher/15018/resize%25253Aformat%25253Dthumbnail,80.962,Gift of the Artist,1991,not found in JSON,96.0043.01,etching,23038,Achievements,Art Works,Leszek Wyczolkowski,Sheet: 31 7/8 x 26 1/4 in. (81 x 66.7 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#d5d5d1
/internal/media/dispatcher/14815/resize%25253Aformat%25253Dthumbnail,35.56,Gift of Dr. and Mrs. Daniel Sharkey,"December 20, 1849",not found in JSON,99.0031.50,lithograph,13644,"Achille Fould, Plate 25",Art Works,HonorÃ© Daumier,Sheet: 14 x 10 in. (35.6 x 25.4 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#a49580
/internal/media/dispatcher/19334/resize%25253Aformat%25253Dthumbnail,"[121.285, 124.46]","Museum purchase through funds from Beaux Arts, Friends of Art, and Richard and Shelly Bermont",1992,not found in JSON,2007.47,chromogenic color print,20476,The Acropolis,Art Works,Martin Parr,Sight: 47 3/4 x 58 5/8 in. (121.3 x 148.9 cm)Framed: 49 x 60 x 1 7/8 in. (124.5 x 152.4 x 4.8 cm),not found in JSON,4.762,1,Europe,#cccccc
/internal/media/dispatcher/14740/resize%25253Aformat%25253Dthumbnail,"[37.465, 24.448]",Gift of Dr. and Mrs. Daniel Sharkey,not dated,not found in JSON,98.0043.63,etching,12636,Adamus Van Noort,Art Works,Anthony van Dyck,Sight: 9 5/8 x 6 1/8 in. (24.4 x 15.6 cm)Sheet: 14 3/4 x 9 3/4 in. (37.5 x 24.8 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#a69b83
/internal/media/dispatcher/197/resize%25253Aformat%25253Dthumbnail,"[81.28, 57.785]",Gift of The Samuel H. Kress Foundation,ca. 1340,not found in JSON,61.018.000,tempera on wood,820,The Adoration of the Magi,Art Works,Master of the Blessed Clare of Rimini,Sight: 22 3/4 x 23 3/8 in. (57.8 x 59.4 cm)Framed: 32 x 31 1/2 x 5 1/2 in. (81.3 x 80 x 14 cm),"Among the events of Christâ€™s infancy, the Adoration of the Magi was important from the standpoint of Catholic dogma because it was the moment when Christâ€™s divinity was revealed for the first time to the Gentiles, as represented by the three kings. Originally, this painting was the left-hand wing of a three-panel altarpiece in the Riminese church of San Francesco. The name given the anonymous master responsible for this charming painting is derived from the subject matter of the altarpieceâ€™s other wing, which depicted the vision of the blessed penitent, Clare of Rimini (1262-1328). Like his Riminese contemporaries, the Master of the Blessed Clare maintained certain Byzantine traditions, such as the red couch on which the Virgin reclines, the gold striations of her gown and the robes of Saint Joseph, and the use of a hierarchical scale. At the same time, the emphasis on human interaction, clarity of space, and figural solidity show the influence of the great Florentine master Giotto di Bondone (1266-1337).",13.97,1,Europe,#a18986
/internal/media/dispatcher/16702/resize%25253Aformat%25253Dthumbnail,32.702,Gift of Dr. David Klein,1708,not found in JSON,77.324.884.3,engraving,19290,The Adoration of the Magi (Matthew 2),Art Works,Christoph Weigel,Sheet: 12 7/8 x 8 7/8 in. (32.7 x 22.5 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#cccabc
/internal/media/dispatcher/16800/resize%25253Aformat%25253Dthumbnail,"[25.4, 37.148]",Gift of Dr. David Klein,ca. 1775,not found in JSON,77.324.884.101,engraving,18974,The Adoration of the Magi (Matthew 2:11),Art Works,Artist Unknown,Sight: 10 x 7 3/4 in. (25.4 x 19.7 cm)Sheet: 14 5/8 x 8 7/8 in. (37.1 x 22.5 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#746d5b
/internal/media/dispatcher/16748/resize%25253Aformat%25253Dthumbnail,32.385,Gift of Dr. David Klein,1708,not found in JSON,77.324.884.49,engraving,18899,The Adoration of the Shepherds (Luke 2),Art Works,Christoph Weigel,Sheet: 12 3/4 x 8 5/8 in. (32.4 x 21.9 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#4e4e47
/internal/media/dispatcher/16770/resize%25253Aformat%25253Dthumbnail,32.068,Gift of Dr. David Klein,1708,not found in JSON,77.324.884.71,engraving,19369,The Adultress Saved by Jesus (John 8),Art Works,Christoph Weigel,Sheet: 12 5/8 x 8 3/4 in. (32.1 x 22.2 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#bcbcaf
/internal/media/dispatcher/19533/resize%25253Aformat%25253Dthumbnail,"[40.6400812802, 24.13]",Museum purchase through funds from Richard and Shelly Bermont,1929 (printed 1980s),not found in JSON,2008.7,gelatin silver print,20954,Aerial View of a Park,Art Works,Alexander Rodchenko,Sheet: 9 1/2 Ã— 12 in. (24.1 Ã— 30.5 cm)Mat: 16 Ã— 20 in. (40.6 Ã— 50.8 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#cdcbcc
/internal/media/dispatcher/6341/resize%25253Aformat%25253Dthumbnail,40.64,Gift of J. Roger Porter,1979,not found in JSON,80.0183,book with blind embossed prints and screen prints,9224,An African Folktale,Information Forms,Willow Legge,Overall (Slipcase): 16 Ã— 12 1/4 Ã— 1 3/8 in. (40.6 Ã— 31.1 Ã— 3.5 cm),not found in JSON,3.492,not found in JSON,Europe,#f9f8f9
/internal/media/dispatcher/15094/resize%25253Aformat%25253Dthumbnail,"[29.845, 38.735, 50.8]",Gift of M. Knoedler and Co.,1929,not found in JSON,53.055.000,drypoint,23620,"Afternoon, Sahagun",Art Works,David Muirhead Bone,Sight: 11 3/4 x 7 in. (29.8 x 17.8 cm)Sheet: 15 1/4 x 11 in. (38.7 x 27.9 cm)Overall: 20 x 15 in. (50.8 x 38.1 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#bab29a
/internal/media/dispatcher/14412/resize%25253Aformat%25253Dthumbnail,33.973,Gift of Dr. David James,1842,not found in JSON,61.074.016,lithograph,10809,"Agathe et toi, mon vieux Ferdinand, Ã§a ne sera pas long cette petite-lÃ  est trop rouÃ©e pour toi, parce que t'es plus rouÃ© qu'elle et pour que Ã§a dure, faut toujours qu'un des deux pose, d'abord!, Plate 63",Art Works,Paul Gavarni,Sheet: 13 3/8 x 10 in. (34 x 25.4 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#c5b190
/internal/media/dispatcher/7471/resize%25253Aformat%25253Dthumbnail,40.322,"Gift of Rose, Feldman, Radin, Pavone and Skehan",1973,not found in JSON,79.041.000.5,screen print,16785,Ah! nuÃ©e accourues des cÃ´tes de la manche,Art Works,Patrick Caulfield,Sheet: 15 7/8 x 13 3/4 in. (40.3 x 34.9 cm),"This limited edition book and print portfolio illustrate the poems of Jules Laforgue, the 19th century French symbolist poet. Caulfield's homage to the writer, who was known for his irony, fresh imagery, and coinage of new words, is very much a Pop conflation of high and low culture.",not found in JSON,not found in JSON,Europe,#435758
/internal/media/dispatcher/14409/resize%25253Aformat%25253Dthumbnail,33.655,Gift of Dr. David James,1840,not found in JSON,61.074.013,lithograph,10184,"Ah! qu'il est beau! Qu'il est beau! Qu'il est beau! Le postillon de long chameau!, Plate 8",Art Works,Paul Gavarni,Sheet: 13 1/4 x 9 7/8 in. (33.7 x 25.1 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#ccb48d
/internal/media/dispatcher/15127/resize%25253Aformat%25253Dthumbnail,"[22.225, 30.162]",Gift of Dr. David Klein,1820,not found in JSON,74.005.250,etching,587,Ah! Sure Such a Pair Was Never Seen So Justly Form'd to Meet by Nature,Art Works,George Cruikshank,Sight: 8 3/4 x 14 5/8 in. (22.2 x 37.1 cm)Sheet: 11 7/8 x 9 1/8 in. (30.2 x 23.2 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#a4ae7a
/internal/media/dispatcher/14305/resize%25253Aformat%25253Dthumbnail,"[36.512, 50.8]",Gift of Mrs. Benjamin Kresberg,1941-1942,not found in JSON,81.0538.02,aquatint and etching,8709,"L'aigle blanc (The White Eagle), Plate 13",Art Works,Pablo Picasso,Sheet: 14 3/8 x 11 1/8 in. (36.5 x 28.3 cm)Mat: 20 x 16 in. (50.8 x 40.6 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#d5d0c3
/internal/media/dispatcher/14778/resize%25253Aformat%25253Dthumbnail,25.082,Gift of Dr. Daniel J. DelRowe,"April 4, 1853",not found in JSON,99.0023.24,lithograph,24458,"Air connu (Well-Known Tune), Plate 3",Art Works,HonorÃ© Daumier,Sheet: 9 7/8 x 14 1/2 in. (25.1 x 36.8 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#b7ae9b
/internal/media/dispatcher/7506/resize%25253Aformat%25253Dthumbnail,"[92.075, 96.2026924054]",Gift of Mr. and Mrs. Sol C. Shaye,1955,not found in JSON,68.118.001,oil on canvas,17024,Albero a primavera (Tree in Springtime),Art Works,Giuseppe Ajmone,Sight: 36 1/4 x 28 5/8 in. (92.1 x 72.7 cm)Framed: 37 7/8 Ã— 30 1/4 Ã— 1 3/4 in. (96.2 Ã— 76.8 Ã— 4.4 cm),not found in JSON,4.44500889,1,Europe,#af8757
/internal/media/dispatcher/5458/resize%25253Aformat%25253Dthumbnail,64.135,Gift of Richard J. DePiano,1971,not found in JSON,79.025.000,lithograph,9242,Album Portfolio,Art Works,Allen Jones,Sheet: 25 1/4 x 18 7/8 in. (64.1 x 47.9 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#6d7f5d
/internal/media/dispatcher/11890/resize%25253Aformat%25253Dthumbnail,"[22.225, 24.13]",Museum purchase,ca. 1875,not found in JSON,2005.42.20,albumen print,18206,"Alexandrie, colonne pompÃ©e et village Arabes (Alexandria, Pompei's Column and Arab Village)",Art Works,FÃ©lix Bonfils,Sight: 8 3/4 x 11 1/4 in. (22.2 x 28.6 cm)Sheet: 9 1/2 x 12 in. (24.1 x 30.5 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#c3b9a6
/internal/media/dispatcher/15016/resize%25253Aformat%25253Dthumbnail,74.93,Gift of the Artist,1991,not found in JSON,96.0043.03,etching,2895,Alien,Art Works,Leszek Wyczolkowski,Sheet: 29 1/2 x 23 1/8 in. (74.9 x 58.7 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#e2e1d4
/internal/media/dispatcher/18309/resize%25253Aformat%25253Dthumbnail,"[93.345, 75.248]",Gift of James P. Sloane,ca. 1610,not found in JSON,80.0309,oil on canvas,23909,Allegorical Landscape,Art Works,Sebastian Vrancx,Sight: 29 5/8 x 45 3/4 in. (75.2 x 116.2 cm)Framed: 36 3/4 x 52 7/8 x 1 7/8 in. (93.3 x 134.3 x 4.8 cm),not found in JSON,4.762,not found in JSON,Europe,#b4b59f
/internal/media/dispatcher/1429/resize%25253Aformat%25253Dthumbnail,"[76.835, 102.5527051054]",Gift of The Samuel H. Kress Foundation,ca. 1525,not found in JSON,61.031.000,oil on canvas,1526,Allegory,Art Works,Bernardino Licinio,Sight: 30 1/4 x 37 in. (76.8 x 94 cm)Framed: 40 3/8 Ã— 47 1/4 Ã— 3 1/2 in. (102.6 Ã— 120 Ã— 8.9 cm),not found in JSON,8.89001778,not found in JSON,Europe,#433228
/internal/media/dispatcher/15064/resize%25253Aformat%25253Dthumbnail,"[43.815, 50.8]",Gift of Dr. and Mrs. Martin B. Grossman,1970,not found in JSON,86.0148,screen print,7207,Allegro,Art Works,Stanley William Hayter,Sight: 17 1/4 x 21 1/4 in. (43.8 x 54 cm)Sheet: 20 x 25 3/4 in. (50.8 x 65.4 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#983a39
/internal/media/dispatcher/16329/resize%25253Aformat%25253Dthumbnail,"[63.182, 85.725]",Gift of Mr. and Mrs. Ira M. Elegant,1894,not found in JSON,76.033.000,oil on canvas,3819,Along a Canal,Art Works,Charles Henri Joseph Leickert,Sight: 24 7/8 x 39 1/2 in. (63.2 x 100.3 cm)Framed: 33 3/4 x 43 3/8 x 3 in. (85.7 x 110.2 x 7.6 cm),not found in JSON,7.62,not found in JSON,Europe,#867a63
/internal/media/dispatcher/15234/resize%25253Aformat%25253Dthumbnail,"[45.085, 43.815]",Gift of The Wolter Foundation,1958,not found in JSON,69.013.016,ink on paper,12230,Along the River,Art Works,Alphons RÃ¶ling,Sight: 17 1/4 x 21 5/8 in. (43.8 x 54.9 cm)Sheet: 17 3/4 x 22 3/8 in. (45.1 x 56.8 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#a3977f
/internal/media/dispatcher/15144/resize%25253Aformat%25253Dthumbnail,"[32.068, 25.4]",Gift of Dr. David Klein,1896,not found in JSON,74.006.318,lithograph,4254,Alphons LeGros,Art Works,Charles Haslewood Shannon,Sight: 10 x 8 1/2 in. (25.4 x 21.6 cm)Sheet: 12 5/8 x 10 1/2 in. (32.1 x 26.7 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#d7d2c6
/internal/media/dispatcher/14383/resize%25253Aformat%25253Dthumbnail,33.655,Gift of Dr. David James,1840,not found in JSON,60.224.002,lithograph,4700,"Amanda l'Ãˆcuyer. Bue? De Bondy, cul-de-sac de la Pompe. NumÃ©ro? Ã‡Ã  ne fait rien, Plate 3",Art Works,Paul Gavarni,Sheet: 13 1/4 x 9 3/4 in. (33.7 x 24.8 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#c7aa78
/internal/media/dispatcher/15217/resize%25253Aformat%25253Dthumbnail,"[31.115, 43.18]",Gift of Mrs. Benjamin Kresberg,1928,not found in JSON,78.024.013,etching and aquatint,11116,Les amants,Art Works,Georges Rouault,Sight: 12 1/4 x 8 3/4 in. (31.1 x 22.2 cm)Sheet: 17 x 12 7/8 in. (43.2 x 32.7 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#bcb4a6
/internal/media/dispatcher/14977/resize%25253Aformat%25253Dthumbnail,"[44.768, 19.368]",Gift of Ira Mogitz,1881,not found in JSON,S83.0269.00,etching,9375,"Am Meer (By the Sea), Plate 2",Art Works,Max Klinger,Sight: 7 5/8 x 14 3/4 in. (19.4 x 37.5 cm)Sheet: 17 5/8 x 24 5/8 in. (44.8 x 62.5 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#9b958a
/internal/media/dispatcher/14278/resize%25253Aformat%25253Dthumbnail,"[25.4, 42.545]",Gift of Dr. David Klein,1880,not found in JSON,74.007.231,etching,6010,"Amor bei Jupiter, Plate 14",Art Works,Max Klinger,Sight: 10 x 6 7/8 in. (25.4 x 17.5 cm)Sheet: 16 3/4 x 12 3/8 in. (42.5 x 31.4 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#968c81
/internal/media/dispatcher/14293/resize%25253Aformat%25253Dthumbnail,"[25.718, 42.545]",Gift of Dr. David Klein,1880,not found in JSON,74.007.246,etching,9374,"Amor bei Jupiter, Plate 14",Art Works,Max Klinger,Sight: 10 1/8 x 6 7/8 in. (25.7 x 17.5 cm)Sheet: 16 3/4 x 12 3/8 in. (42.5 x 31.4 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#968c81
/internal/media/dispatcher/14292/resize%25253Aformat%25253Dthumbnail,"[25.4, 42.545]",Gift of Dr. David Klein,1880,not found in JSON,74.007.245,etching,8907,"Amor findet Psyche, Plate 13",Art Works,Max Klinger,Sight: 10 x 6 7/8 in. (25.4 x 17.5 cm)Sheet: 16 3/4 x 12 3/8 in. (42.5 x 31.4 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#948a7f
/internal/media/dispatcher/14277/resize%25253Aformat%25253Dthumbnail,"[42.545, 25.4]",Gift of Dr. David Klein,1880,not found in JSON,74.007.230,etching,23841,"Amor findet Psyche, Plate 13",Art Works,Max Klinger,Sight: 10 x 6 7/8 in. (25.4 x 17.5 cm)Sheet: 16 3/4 x 12 3/8 in. (42.5 x 31.4 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#948a7f
/internal/media/dispatcher/14268/resize%25253Aformat%25253Dthumbnail,"[42.545, 25.4]",Gift of Dr. David Klein,1880,not found in JSON,74.007.221,etching,7563,"Amor kommend, Plate 4",Art Works,Max Klinger,Sight: 10 x 6 7/8 in. (25.4 x 17.5 cm)Sheet: 16 3/4 x 12 3/8 in. (42.5 x 31.4 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#aba399
/internal/media/dispatcher/14283/resize%25253Aformat%25253Dthumbnail,"[25.718, 42.545]",Gift of Dr. David Klein,1880,not found in JSON,74.007.236,etching,7660,"Amor kommend, Plate 4",Art Works,Max Klinger,Sight: 10 1/8 x 7 in. (25.7 x 17.8 cm)Sheet: 16 3/4 x 12 3/8 in. (42.5 x 31.4 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#aba399
/internal/media/dispatcher/14746/resize%25253Aformat%25253Dthumbnail,"[17.462, 14.605]",Gift of Dr. Daniel J. DelRowe,not dated,not found in JSON,98.0044.06,etching,11954,Amorous Couple in Doorway,Art Works,Artist Unknown,Sight: 5 3/4 x 4 3/4 in. (14.6 x 12.1 cm)Sheet: 6 7/8 x 6 1/8 in. (17.5 x 15.6 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#4c473b
/internal/media/dispatcher/14986/resize%25253Aformat%25253Dthumbnail,"[44.45, 15.558]",Gift of Ira Mogitz,1881,not found in JSON,S83.0269.09,etching,9195,"Amor, Tod und Jenfeits (Cupid, Death and Beyond), Plate 12",Art Works,Max Klinger,Sight: 6 1/8 x 16 in. (15.6 x 40.6 cm)Sheet: 17 1/2 x 24 5/8 in. (44.5 x 62.5 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#b0ab9f
/internal/media/dispatcher/15227/resize%25253Aformat%25253Dthumbnail,"[49.53, 30.48]",Gift of Louis J. Hector,1911 (printed ca. 1950),not found in JSON,85.0142,woodcut,2989,L'amour,Art Works,Raoul Dufy,Sight: 12 x 12 1/8 in. (30.5 x 30.8 cm)Sheet: 19 1/2 x 25 7/8 in. (49.5 x 65.7 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#cbc9c6
/internal/media/dispatcher/15037/resize%25253Aformat%25253Dthumbnail,"[33.02, 22.86]",Gift of Kenneth and Helyne Treister,1954-1955,not found in JSON,93.0035.45,etching,23013,L'amoureuse III,Art Works,Marc Chagall,Sight: 9 x 15 3/4 in. (22.9 x 40 cm)Sheet: 13 x 20 in. (33 x 50.8 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#b5b4ab
/internal/media/dispatcher/11701/resize%25253Aformat%25253Dthumbnail,37.465,Gift of Mr. and Mrs. Arnold Saltzman,1964,36.83,74.018.007,glass,877,Ancestral,Art Works,James Coignard,Overall: 14 3/4 x 14 1/2 in. (37.5 x 36.8 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#d3d0ca
/internal/media/dispatcher/14653/resize%25253Aformat%25253Dthumbnail,19.6850393701,Gift of Dr. David James,not dated,not found in JSON,63.012.000,pencil and chalk on paper,3212,Anchorite in Prayer,Art Works,Jean Baptiste Marie Pierre,Sheet: 7 3/4 Ã— 7 1/8 in. (19.7 Ã— 18.1 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#646b66
/internal/media/dispatcher/14008/resize%25253Aformat%25253Dthumbnail,"[11.748, 14.288]",Gift of Raymond and Del Rubin,not dated,not found in JSON,87.0294,gelatin silver print,4582,Andre Derain with His Bugatti,Art Works,Marc Vaux,Sight: 4 5/8 x 7 in. (11.7 x 17.8 cm)Sheet: 5 5/8 x 7 3/8 in. (14.3 x 18.7 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#1a1a1a
/internal/media/dispatcher/3063/resize%25253Aformat%25253Dthumbnail,20.32,Museum purchase,ca. 1890,not found in JSON,2002.34.2,albumen print,14848,Anfiteatro Flavio detto Colosseo (Flavian Amphitheater known as the Colosseum),Art Works,Artist Unknown,Sheet: 8 x 10 1/8 in. (20.3 x 25.7 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#9e8b70
/internal/media/dispatcher/16891/resize%25253Aformat%25253Dthumbnail,32.385,Gift of Dr. David Klein,ca. 1700,not found in JSON,74.008.000.46,engraving,25369,An Angel Appears to Joshua Outside Jericho (Joshua 5),Art Works,Caspar Luyken,Sheet: 12 3/4 x 8 3/4 in. (32.4 x 22.2 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#aca999
/internal/media/dispatcher/16900/resize%25253Aformat%25253Dthumbnail,33.02,Gift of Dr. David Klein,ca. 1700,not found in JSON,74.008.000.55,engraving,19776,An Angel Appears to Manoah and His Wife (Judges 13),Art Works,Caspar Luyken,Sheet: 13 x 8 3/4 in. (33 x 22.2 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#b1ab9b
/internal/media/dispatcher/16787/resize%25253Aformat%25253Dthumbnail,32.385,Gift of Dr. David Klein,1708,not found in JSON,77.324.884.88,engraving,18934,An Angel Appears to the Centurion Cornelius (Acts 10),Art Works,Christoph Weigel,Sheet: 12 3/4 x 8 3/4 in. (32.4 x 22.2 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#c1bfb1
/internal/media/dispatcher/16897/resize%25253Aformat%25253Dthumbnail,32.385,Gift of Dr. David Klein,ca. 1700,not found in JSON,74.008.000.52,engraving,20134,The Angel Burns the Offering Gideon Prepared (Judges 6),Art Works,Caspar Luyken,Sheet: 12 3/4 x 8 3/4 in. (32.4 x 22.2 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#c9c7b8
/internal/media/dispatcher/16788/resize%25253Aformat%25253Dthumbnail,32.702,Gift of Dr. David Klein,1708,not found in JSON,77.324.884.89,engraving,19671,An Angel Frees Peter from Prison (Acts 12),Art Works,Christoph Weigel,Sheet: 12 7/8 x 8 3/4 in. (32.7 x 22.2 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#aca998
/internal/media/dispatcher/16955/resize%25253Aformat%25253Dthumbnail,32.385,Gift of Dr. David Klein,ca. 1700,not found in JSON,74.008.000.109,engraving,25378,An Angel of the Lord Destroys the Assyrian Army (2 Kings 19),Art Works,Caspar Luyken,Sheet: 12 3/4 x 9 7/8 in. (32.4 x 25.1 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#49473c
